"paths","value","percent"
0,30930,0.007
1,120885,0.0272
2,201873,0.0454
3,256589,0.0577
4,290390,0.0653
5,307082,0.069
6,315159,0.0708
7,325178,0.0731
8,311553,0.07
9,309193,0.0695
10,300407,0.0675
11,263993,0.0593
12,234711,0.0528
13,202390,0.0455
14,178233,0.0401
15,153165,0.0344
16,127056,0.0286
17,108086,0.0243
18,88890,0.02
19,73620,0.0165
20,57653,0.013
21,46677,0.0105
22,36503,0.0082
23,27487,0.0062
24,22107,0.005
25,15822,0.0036
26,12404,0.0028
27,9068,0.002
28,7205,0.0016
29,4681,0.0011
30,3079,7e-04
31,2357,5e-04
32,1576,4e-04
33,1058,2e-04
34,843,2e-04
35,574,1e-04
36,409,1e-04
37,154,0
38,99,0
39,34,0
40,24,0
41,2,0
